type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1985993,He  Zhang and Ross  Jeffery and Dan  Houston and Liguo  Huang and Liming  Zhu,,,,Impact of Process Simulation on Software Practice: An Initial Report,1046--1056,,11,"impact analysis, process simulation, software process",10.1145/1985793.1985993,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985882,John  Hutchinson and Mark  Rouncefield and Jon  Whittle,,,,Model-driven Engineering Practices in Industry,633--642,,10,"empirical evaluation, model driven engineering, software engineering",10.1145/1985793.1985882,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985824,Chao  Wang and Mahmoud  Said and Aarti  Gupta,,,,Coverage Guided Systematic Concurrency Testing,221--230,,10,"concurrency, coverage, partial order reduction",10.1145/1985793.1985824,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985811,Satish  Chandra and Emina  Torlak and Shaon  Barman and Rastislav  Bodik,,,,Angelic Debugging,121--130,,10,"angelic non-determinism, debugging, symbolic execution, tests",10.1145/1985793.1985811,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985854,Friedrich  Steimann and Fabian Urs Stolz,,,,Refactoring to Role Objects,441--450,,10,"delegation, object schizophrenia, refactoring to patterns, roles",10.1145/1985793.1985854,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985807,Sandeep  Kumar and Siau-Cheng  Khoo and Abhik  Roychoudhury and David  Lo,,,,Mining Message Sequence Graphs,91--100,,10,"distributed systems, specification mining",10.1145/1985793.1985807,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985858,John  Hutchinson and Jon  Whittle and Mark  Rouncefield and Steinar  Kristoffersen,,,,Empirical Assessment of MDE in Industry,471--480,,10,"empirical software engineering, model driven engineering",10.1145/1985793.1985858,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985805,Kathryn T. Stolee and Sebastian  Elbaum,,,,Refactoring Pipe-like Mashups for End-user Programmers,81--90,,10,"end user software engineering, refactoring, web mashups",10.1145/1985793.1985805,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985850,Sunny  Wong and Yuanfang  Cai and Miryung  Kim and Michael  Dalton,,,,Detecting Software Modularity Violations,411--420,,10,"bad code smells, design structure matrix, modularity violation detection, refactoring",10.1145/1985793.1985850,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985843,Tung Thanh Nguyen and Hung Viet Nguyen and Hoan Anh Nguyen and Tien N. Nguyen,,,,Aspect Recommendation for Evolving Software,361--370,,10,"aspect mining, concern peer, cross-cutting concern",10.1145/1985793.1985843,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985870,Ali  Mesbah and Mukul R. Prasad,,,,Automated Cross-browser Compatibility Testing,561--570,,10,"cross-browser compatibility, dynamic analysis, web testing",10.1145/1985793.1985870,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985813,Shane  McIntosh and Bram  Adams and Thanh H.D. Nguyen and Yasutaka  Kamei and Ahmed E. Hassan,,,,An Empirical Study of Build Maintenance Effort,141--150,,10,"build systems, empirical software engineering, mining software repositories",10.1145/1985793.1985813,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985874,Choonghwan  Lee and Feng  Chen and Grigore  Ro&#351;u,,,,Mining Parametric Specifications,591--600,,10,"dynamic analysis, parametric specifications",10.1145/1985793.1985874,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985856,Steven  She and Rafael  Lotufo and Thorsten  Berger and Andrzej  W&#261;sowski and Krzysztof  Czarnecki,,,,Reverse Engineering Feature Models,461--470,,10,"feature models, feature similarity, variability modeling",10.1145/1985793.1985856,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985889,Werner  Dietl and Stephanie  Dietzel and Michael D. Ernst and Kivan&#231;  Mu&#351;lu and Todd W. Schiller,,,,Building and Using Pluggable Type-checkers,681--690,,10,"annotation, binary name, bug finding, case study, enum, enumeration, field descriptor, fully qualified name, intern, java, nonnull, pluggable type, type qualifier, type system",10.1145/1985793.1985889,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985820,Yi  Wei and Carlo A. Furia and Nikolay  Kazmin and Bertrand  Meyer,,,,Inferring Better Contracts,191--200,,10,"contract inference, data mining, invariants, random testing",10.1145/1985793.1985820,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985846,Guido  de Caso and V&#237;ctor  Braberman and Diego  Garbervetsky and Sebasti&#225;n  Uchitel,,,,Program Abstractions for Behaviour Validation,381--390,,10,"automated abstraction, behaviour model synthesis, source code validation",10.1145/1985793.1985846,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985803,Fredrik  Kjolstad and Danny  Dig and Gabriel  Acevedo and Marc  Snir,,,,Transformation for Class Immutability,61--70,,10,"immutability, program transformation",10.1145/1985793.1985803,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985868,Richard  Wettel and Michele  Lanza and Romain  Robbes,,,,Software Systems As Cities: A Controlled Experiment,551--560,,10,"empirical validation, software visualization",10.1145/1985793.1985868,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985826,Fausto  Spoto and Michael D. Ernst,,,,Inference of Field Initialization,231--240,,10,"abstract interpretation, initialization, static analysis",10.1145/1985793.1985826,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985875,C&#233;dric  Jeanneret and Martin  Glinz and Benoit  Baudry,,,,Estimating Footprints of Model Operations,601--610,,10,"model footprint, model operation, static analysis",10.1145/1985793.1985875,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985862,Domenico  Bianculli and Dimitra  Giannakopoulou and Corina S. P&#259;s&#259;reanu,,,,Interface Decomposition for Service Compositions,501--510,,10,"behavioral interface, interface decomposition, servicecompositions, services",10.1145/1985793.1985862,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985828,Fang  Yu and Muath  Alkhalaf and Tevfik  Bultan,,,,Patching Vulnerabilities with Sanitization Synthesis,251--260,,10,"automata, sanitization synthesis, string analysis",10.1145/1985793.1985828,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985842,David  Kawrykow and Martin P. Robillard,,,,Non-essential Changes in Version Histories,351--360,,10,"differencing algorithms, mining software repositories, software change analysis",10.1145/1985793.1985842,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985838,Andreas  Classen and Patrick  Heymans and Pierre-Yves  Schobbens and Axel  Legay,,,,Symbolic Model Checking of Software Product Lines,321--330,,10,"features, software product lines, specification",10.1145/1985793.1985838,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985851,Sven  Apel and Dirk  Beyer,,,,Feature Cohesion in Software Product Lines: An Exploratory Study,421--430,,10,"feature cohesion, feature-oriented software development, featurevisu, software product lines, visual clustering",10.1145/1985793.1985851,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985836,Nils  G&#246;de and Rainer  Koschke,,,,Frequency and Risks of Changes to Clones,311--320,,10,"clone detection, clone evolution, software maintenance",10.1145/1985793.1985836,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985835,Heejung  Kim and Yungbum  Jung and Sunghun  Kim and Kwankeun  Yi,,,,MeCC: Memory Comparison-based Clone Detector,301--310,,10,"abstract interpretation, clone detection, software maintenance, static analysis",10.1145/1985793.1985835,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985871,Shay  Artzi and Julian  Dolby and Simon Holm Jensen and Anders  M&#248;ller and Frank  Tip,,,,A Framework for Automated Testing of Javascript Web Applications,571--580,,10,"ajax, automated testing, debugging, event driven, javascript, random testing, web applications",10.1145/1985793.1985871,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985897,Yoram  Adler and Noam  Behar and Orna  Raz and Onn  Shehory and Nadav  Steindler and Shmuel  Ur and Aviad  Zlotnick,,,,Code Coverage Analysis in Practice for Large Systems,736--745,,10,"code coverage analysis, substring hole analysis, system test",10.1145/1985793.1985897,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985797,James  Clause and Alessandro  Orso,,,,Camouflage: Automated Anonymization of Field Data,21--30,,10,"input anonymization, symbolic execution",10.1145/1985793.1985797,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985866,Massila  Kamalrudin and John  Hosking and John  Grundy,,,,Improving Requirements Quality Using Essential Use Case Interaction Patterns,531--540,,10,"consistency management, essential use cases, requirements engineering, requirements patterns, tool support",10.1145/1985793.1985866,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985887,Jeroen  van den Bos and Tijs  van der Storm,,,,Bringing Domain-specific Languages to Digital Forensics,671--680,,10,"data description languages, digital forensics, domain-specific languages, model-driven engineering",10.1145/1985793.1985887,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985844,Reid  Holmes and David  Notkin,,,,"Identifying Program, Test, and Environmental Changes That Affect Behaviour",371--380,,10,"comparative analyses, dynamic impact analysis, software behaviour, static analysis",10.1145/1985793.1985844,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985801,Stefan  Winter and Constantin  S&#226;rbu and Neeraj  Suri and Brendan  Murphy,,,,The Impact of Fault Models on Software Robustness Evaluations,51--60,,10,"fault injection, fault models, robustness testing",10.1145/1985793.1985801,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985800,Toshiya  Fujii and Tadashi  Dohi and Takaji  Fujiwara,,,,Towards Quantitative Software Reliability Assessment in Incremental Development Processes,41--50,,10,"data analysis, incremental development, maximum likelihood estimation, non-homogeneous poisson processes, software metrics, software reliability",10.1145/1985793.1985800,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985864,Michael  Bayne and Richard  Cook and Michael D. Ernst,,,,Always-available Static and Dynamic Feedback,521--530,,10,"dynamic typing, gradual typing, hybrid typing, productivity, prototyping, refactoring, static typing, type error",10.1145/1985793.1985864,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985881,Lucas  Layman and Victor R. Basili and Marvin V. Zelkowitz and Karen L. Fisher,,,,A Case Study of Measuring Process Risk for Early Insights into Software Safety,623--632,,10,"constellation program, empirical software engineering, hazard reports, measurement, safety",10.1145/1985793.1985881,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985847,Matt  Staats and Michael W. Whalen and Mats P.E. Heimdahl,,,,"Programs, Tests, and Oracles: The Foundations of Testing Revisited",391--400,,10,"testing formalism, theory of testing",10.1145/1985793.1985847,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985804,Max  Sch&#228;fer and Manu  Sridharan and Julian  Dolby and Frank  Tip,,,,Refactoring Java Programs for Flexible Locking,71--80,,10,"monitors, read-write locks, refactoring",10.1145/1985793.1985804,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985840,Antonio  Filieri and Carlo  Ghezzi and Giordano  Tamburrelli,,,,Run-time Efficient Probabilistic Model Checking,341--350,,10,"discrete time markov chains, run-time model checking",10.1145/1985793.1985840,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985823,Nicol&#225;s  D'Ippolito and Victor  Braberman and Nir  Piterman and Sebasti&#225;n  Uchitel,,,,Synthesis of Live Behaviour Models for Fallible Domains,211--220,,10,"behavioural modelling, controller synthesis",10.1145/1985793.1985823,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985808,Giriprasad  Sridhara and Lori  Pollock and K.  Vijay-Shanker,,,,Automatically Detecting and Describing High Level Actions Within Methods,101--110,,10,"documentation, program comprehension",10.1145/1985793.1985808,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985812,Ariel  Rabkin and Randy  Katz,,,,Static Extraction of Program Configuration Options,131--140,,10,"configuration, documentation, experiences, static analysis",10.1145/1985793.1985812,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985855,Felienne  Hermans and Martin  Pinzger and Arie  van Deursen,,,,Supporting Professional Spreadsheet Users by Generating Leveled Dataflow Diagrams,451--460,,10,"data flow diagrams, end-user programming, spreadsheets, visualization",10.1145/1985793.1985855,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985872,William N. Sumner and Tao  Bao and Xiangyu  Zhang and Sunil  Prabhakar,,,,Coalescing Executions for Fast Uncertainty Analysis,581--590,,10,"coalescing, monte carlo, sensitivity, uncertainty",10.1145/1985793.1985872,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985831,Minghui  Zhou and Audris  Mockus,,,,Does the Initial Environment Impact the Future of Developers?,271--280,,10,"initial environment, learning trajectory, relative sociality, socio-technical balance",10.1145/1985793.1985831,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985859,Sunghun  Kim and Hongyu  Zhang and Rongxin  Wu and Liang  Gong,,,,Dealing with Noise in Defect Prediction,481--490,,10,"buggy changes, buggy files, data quality, defect prediction, noise resistance",10.1145/1985793.1985859,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985876,Xusheng  Xiao and Tao  Xie and Nikolai  Tillmann and Jonathan  de Halleux,,,,Precise Identification of Problems for Structural Test Generation,611--620,,10,"data dependency, dynamic symbolic execution, problem identification, structural test generation",10.1145/1985793.1985876,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985863,Aleksandar  Milicevic and Derek  Rayside and Kuat  Yessenov and Daniel  Jackson,,,,Unifying Execution of Imperative and Declarative Code,511--520,,10,"constraint-based languages, declarative programming, executable specifications, formal methods",10.1145/1985793.1985863,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985890,Rachel  Bellamy and Bonnie  John and Sandra  Kogan,,,,Deploying CogTool: Integrating Quantitative Usability Assessment into Real-world Software Development,691--700,,10,"cognitive modeling, cogtool, software development practice, usability engineering",10.1145/1985793.1985890,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985809,Collin  McMillan and Mark  Grechanik and Denys  Poshyvanyk and Qing  Xie and Chen  Fu,,,,Portfolio: Finding Relevant Functions and Their Usage,111--120,,10,"code search, function call graph, pagerank, portfolio, ranking",10.1145/1985793.1985809,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985867,Peter C. Rigby and Margaret-Anne  Storey,,,,Understanding Broadcast Based Peer Review on Open Source Software Projects,541--550,,10,"case studies, grounded theory, open source software, peer review",10.1145/1985793.1985867,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985832,Andrew  Meneely and Laurie  Williams,,,,Socio-technical Developer Networks: Should We Trust Our Measurements?,281--290,,10,"developer network, developers, social network analysis",10.1145/1985793.1985832,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985830,Narayan  Ramasubbu and Marcelo  Cataldo and Rajesh Krishna Balan and James D. Herbsleb,,,,"Configuring Global Software Teams: A Multi-company Analysis of Project Productivity, Quality, and Profits",261--270,,10,"empirical analysis, globally distributed software development, quality management, software engineering economics",10.1145/1985793.1985830,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985817,Pamela  Bhattacharya and Iulian  Neamtiu,,,,Assessing Programming Language Impact on Development and Maintenance: A Study on C and C++,171--180,,10,"developer productivity, empirical studies, high-level languages, software evolution, software quality",10.1145/1985793.1985817,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985860,Foyzur  Rahman and Premkumar  Devanbu,,,,"Ownership, Experience and Defects: A Fine-grained Study of Authorship",491--500,,10,"collaboration, experience, ownership, software quality",10.1145/1985793.1985860,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985895,Jonathan  Streit and Markus  Pizka,,,,Why Software Quality Improvement Fails (and How to Succeed Nevertheless),726--735,,10,"change management, industrial experience, quality assurance, software quality improvement",10.1145/1985793.1985895,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985902,Heiko  Koziolek and Bastian  Schlich and Carlos  Bilich and Roland  Weiss and Steffen  Becker and Klaus  Krogmann and Mircea  Trifu and Raffaela  Mirandola and Anne  Koziolek,,,,An Industrial Case Study on Quality Impact Prediction for Evolving Service-oriented Software,776--785,,10,"case study, dtmc, industrial software, lqn, palladio, performance prediction, reliability prediction, reverse engineering, service-oriented software, trade-off analysis",10.1145/1985793.1985902,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985795,Andrea  Arcuri and Lionel  Briand,,,,A Practical Guide for Using Statistical Tests to Assess Randomized Algorithms in Software Engineering,1--10,,10,"bonferroni adjustment, confidence interval, effect size, non-parametric test, parametric test, statistical difference, survey, systematic review",10.1145/1985793.1985795,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985899,Yoon-Chan  Jhi and Xinran  Wang and Xiaoqi  Jia and Sencun  Zhu and Peng  Liu and Dinghao  Wu,,,,Value-based Program Characterization and Its Application to Software Plagiarism Detection,756--765,,10,"dynamic code identification, software plagiarism detection",10.1145/1985793.1985899,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985816,Marcelo  Cataldo and James D. Herbsleb,,,,Factors Leading to Integration Failures in Global Feature-oriented Development: An Empirical Analysis,161--170,,10,"cross-feature interaction, feature-oriented development, global software development",10.1145/1985793.1985816,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985894,Paul Luo Li and Ryan  Kivett and Zhiyuan  Zhan and Sung-eok  Jeon and Nachiappan  Nagappan and Brendan  Murphy and Andrew J. Ko,,,,Characterizing the Differences Between Pre- and Post- Release Versions of Software,716--725,,10,"beta, customer experience improvement program, reliability analysis component (rac), usage, windows, windows error reporting (wer)",10.1145/1985793.1985894,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985852,Damien  Cassou and Emilie  Balland and Charles  Consel and Julia  Lawall,,,,Leveraging Software Architectures to Guide and Verify the Development of Sense/Compute/Control Applications,431--440,,10,"architectural conformance, generative programming",10.1145/1985793.1985852,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985898,Mithun  Acharya and Brian  Robinson,,,,Practical Change Impact Analysis Based on Static Program Slicing for Industrial Software Systems,746--755,,10,"change impact analysis, empirical study, static program slicing",10.1145/1985793.1985898,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985901,Hans Christian Benestad and Jo E. Hannay,,,,A Comparison of Model-based and Judgment-based Release Planning in Incremental Software Projects,766--775,,10,"agile, case study, large development projects, practitioners' mental models, repertory grid, scrum",10.1145/1985793.1985901,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985815,Miryung  Kim and Dongxiang  Cai and Sunghun  Kim,,,,An Empirical Investigation into the Role of API-level Refactorings During Software Evolution,151--160,,10,"defects, empirical study, refactoring, release cycle, software evolution",10.1145/1985793.1985815,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985834,Kelly  Androutsopoulos and David  Binkley and David  Clark and Nicolas  Gold and Mark  Harman and Kevin  Lano and Zheng  Li,,,,Model Projection: Simplifying Models in Response to Restricting the Environment,291--300,,10,"extended finite state machines, model projection, slicing",10.1145/1985793.1985834,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985822,Jungju  Oh and Christopher J. Hughes and Guru  Venkataramani and Milos  Prvulovic,,,,LIME: A Framework for Debugging Load Imbalance in Multi-threaded Execution,201--210,,10,"load imbalance, parallel section, performance debugging",10.1145/1985793.1985822,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
